更新时间: 2026-03-23 00:59:31（北京时间）

更新时间,#genre#
2026-03-23 00:59:31,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

茶频道,http://171.8.84.159:8800/rtp/239.16.20.68:10680$河南电信
梨园频道,http://222.188.161.145:4022/rtp/239.49.8.193:8000$江苏电信
文物宝库,http://222.188.161.145:4022/rtp/239.49.0.209:8000$江苏电信
武术世界,http://222.188.161.145:4022/rtp/239.49.0.205:8000$江苏电信
乐游,http://222.188.161.145:4022/rtp/239.49.1.173:6000$江苏电信
乐游,http://171.8.84.159:8800/rtp/239.16.20.111:11110$河南电信
生活时尚,http://222.188.161.145:4022/rtp/239.49.1.181:6000$江苏电信
生活时尚,http://171.8.84.159:8800/rtp/239.16.20.114:11140$河南电信
都市剧场,http://222.188.161.145:4022/rtp/239.49.1.170:6000$江苏电信
都市剧场,http://171.8.84.159:8800/rtp/239.16.20.38:10380$河南电信
欢笑剧场,http://171.8.84.159:8800/rtp/239.16.20.39:10390$河南电信
游戏风云,http://222.188.161.145:4022/rtp/239.49.1.177:6000$江苏电信
游戏风云,http://171.8.84.159:8800/rtp/239.16.20.112:11120$河南电信
金色学堂,http://171.8.84.159:8800/rtp/239.16.20.115:11150$河南电信
动漫秀场,http://222.188.161.145:4022/rtp/239.49.1.171:6000$江苏电信
动漫秀场,http://171.8.84.159:8800/rtp/239.16.20.40:10400$河南电信
卡酷少儿,http://123.114.17.150:4000/rtp/239.3.1.189:8000$北京市联通
金鹰卡通,http://222.188.161.145:4022/rtp/239.49.8.33:8000$江苏电信
金鹰卡通,http://171.8.84.159:8800/rtp/239.16.20.104:11040$河南电信
金鹰卡通,http://123.114.17.150:4000/rtp/239.3.1.51:9252$北京市联通
优漫卡通,http://222.188.161.145:4022/rtp/239.49.8.119:8000$江苏电信
嘉佳卡通,http://123.114.17.150:4000/rtp/239.3.1.147:9268$北京市联通
中国交通,http://123.114.17.150:4000/rtp/239.3.1.188:8001$北京市联通
中国天气,http://222.188.161.145:4022/rtp/239.49.0.94:8000$江苏电信

湖北,#genre#

